id,created_by,last_modified_by,address1,address2,city,country,date_of_birth,district,first_name,joining_date,last_name,middle_name,pincode,primary_phone,secondary_phone,state,type,school_id,user_id,staff_id
11,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Suyash,2016-05-01,Burnwal,Kumar,500084,9000000112,,Telangana,Teacher,1,15,STAFF_ID_11
12,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Ramdas,2016-05-01,Bhawani,,500084,9000000112,,Telangana,Teacher,1,16,STAFF_ID_12
13,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Reena,2016-05-01,Bhawe,,500084,9000000112,,Telangana,Teacher,1,17,STAFF_ID_13
14,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Sana,2016-05-01,Mallick,,500084,9000000112,,Telangana,Teacher,1,18,STAFF_ID_14
15,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Ajay,2016-05-01,Srivastava,,500084,9000000112,,Telangana,Teacher,1,19,STAFF_ID_15
16,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Prakhar,2016-05-01,Dhar,,500084,9000000112,,Telangana,Teacher,1,20,STAFF_ID_16
17,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Ramavtar,2016-05-01,Qureshi,,500084,9000000112,,Telangana,Teacher,1,21,STAFF_ID_17
18,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Parwati,2016-05-01,Panda,,500084,9000000112,,Telangana,Teacher,1,22,STAFF_ID_18
19,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Naveen,2016-05-01,Chandravanshi,,500084,9000000112,,Telangana,Teacher,1,23,STAFF_ID_19
20,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Neeraj,2016-05-01,Kumar,,500084,9000000112,,Telangana,Teacher,1,24,STAFF_ID_20
21,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Rajesh,2016-05-01,Cherukuri,,500084,9000000112,,Telangana,Teacher,1,25,STAFF_ID_21
22,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Mayank,2016-05-01,Manish,,500084,9000000112,,Telangana,Teacher,1,26,STAFF_ID_22
23,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Piyush,2016-05-01,Pranay,,500084,9000000112,,Telangana,Teacher,1,27,STAFF_ID_23
24,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Prabhakar,2016-05-01,Misra,,500084,9000000112,,Telangana,Teacher,1,28,STAFF_ID_24
25,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Ankit,2016-05-01,Berlia,,500084,9000000112,,Telangana,Teacher,1,29,STAFF_ID_25
26,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Shreyas,2016-05-01,Nivas,,500084,9000000112,,Telangana,Teacher,1,30,STAFF_ID_26
27,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Aaron,2016-05-01,Mendonca,David,500084,9000000112,,Telangana,Teacher,1,31,STAFF_ID_27
28,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Alex,2016-05-01,Avarachan,K,500084,9000000112,,Telangana,Teacher,1,32,STAFF_ID_28
29,staff,staff,Ayyappa Socieity,Madhapur,Hyderabad,India,9/10/1979,Ranga Reddy district,Aakash,2016-05-01,Kedia,,500084,9000000112,,Telangana,Teacher,1,33,STAFF_ID_29
30,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Satya,2017-02-02,Reddy,,500084,9011111112,,Telangana,Teacher,2,34,STAFF_ID_30
31,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Krishna,2017-02-02,Apte,,500084,9011111112,,Telangana,Teacher,2,35,STAFF_ID_31
32,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Pragya,2017-02-02,Gupta,Sen,500084,9011111112,,Telangana,Teacher,2,36,STAFF_ID_32
33,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Prerna,2017-02-02,Agarwal,,500084,9011111112,,Telangana,Teacher,2,37,STAFF_ID_33
34,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Prakhar,2017-02-02,Utsav,,500084,9011111112,,Telangana,Teacher,2,38,STAFF_ID_34
35,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Gita,2017-02-02,Mishra,,500084,9011111112,,Telangana,Teacher,2,39,STAFF_ID_35
36,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Sunil,2017-02-02,Kalakaar,,500084,9011111112,,Telangana,Teacher,2,40,STAFF_ID_36
37,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Anupam,2017-02-02,Malya,,500084,9011111112,,Telangana,Teacher,2,41,STAFF_ID_37
38,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Prateek,2017-02-02,Singhal,,500084,9011111112,,Telangana,Teacher,2,42,STAFF_ID_38
39,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Raunak,2017-02-02,Sarda,,500084,9011111112,,Telangana,Teacher,2,43,STAFF_ID_39
40,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Rahul,2017-02-02,Saxena,,500084,9011111112,,Telangana,Teacher,2,44,STAFF_ID_40
41,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Keshav,2017-02-02,Modi,,500084,9011111112,,Telangana,Teacher,2,45,STAFF_ID_41
42,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Rahul,2017-02-02,Mehta,,500084,9011111112,,Telangana,Teacher,2,46,STAFF_ID_42
43,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Devendra,2017-02-02,Gupta,,500084,9011111112,,Telangana,Teacher,2,47,STAFF_ID_43
44,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Dhiraj,2017-02-02,Kumar,,500084,9011111112,,Telangana,Teacher,2,48,STAFF_ID_44
45,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Kedar,2017-02-02,Badnikar,,500084,9011111112,,Telangana,Teacher,2,49,STAFF_ID_45
46,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Soumyajit,2017-02-02,Behra,,500084,9011111112,,Telangana,Teacher,2,50,STAFF_ID_46
47,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Pankaj,2017-02-02,Chaukikar,Kumar,500084,9011111112,,Telangana,Teacher,2,51,STAFF_ID_47
48,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Sneha,2017-02-02,Gupta,,500084,9011111112,,Telangana,Teacher,2,52,STAFF_ID_48
49,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Tirtha,2017-02-02,Khan,,500084,9011111112,,Telangana,Teacher,2,53,STAFF_ID_49
50,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Sonal,2017-02-02,Singh,,500084,9011111112,,Telangana,Teacher,2,54,STAFF_ID_50
51,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Nishant,2017-02-02,Jain,,500084,9011111112,,Telangana,Teacher,2,55,STAFF_ID_51
52,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Shekhar,2017-02-02,Verma,,500084,9011111112,,Telangana,Teacher,2,56,STAFF_ID_52
53,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Aishwarya,2017-02-02,Singh,,500084,9011111112,,Telangana,Teacher,2,57,STAFF_ID_53
54,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Harshwardhan,2017-02-02,Aggarwal,,500084,9011111112,,Telangana,Teacher,2,58,STAFF_ID_54
55,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Arnov,2017-02-02,Sengupta,Kumar,500084,9011111112,,Telangana,Teacher,2,59,STAFF_ID_55
56,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Mohit,2017-02-02,Singh,,500084,9011111112,,Telangana,Teacher,2,60,STAFF_ID_56
57,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Shaurya,2017-02-02,Varma,,500084,9011111112,,Telangana,Teacher,2,61,STAFF_ID_57
58,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Chandan,2017-02-02,Kumar,,500084,9011111112,,Telangana,Teacher,2,62,STAFF_ID_58
59,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Ankit,2017-02-02,Goenka,,500084,9011111112,,Telangana,Teacher,2,63,STAFF_ID_59
60,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Manisha,2017-02-02,Jhunjhunwala,,500084,9011111112,,Telangana,Teacher,2,64,STAFF_ID_60
61,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Hemanth,2017-02-02,Choudhary,,500084,9011111112,,Telangana,Teacher,2,65,STAFF_ID_61
62,staff,staff,"Plot 55, Gautami Enclave","Botanical Garden, Kondapur",Hyderabad,India,5/11/1975,Ranga Reddy district,Niketan,2017-02-02,Parija,,500084,9011111112,,Telangana,Teacher,2,66,STAFF_ID_62
