id;login;password_hash;first_name;last_name;type;email;image_url;activated;lang_key;activation_key;reset_key;created_by;last_modified_by
51;staff_id_47;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Pankaj;Chaukikar;STAFF;random44@random;;True;en;;;staff;staff
52;staff_id_48;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Sneha;Gupta;STAFF;random45@random;;True;en;;;staff;staff
53;staff_id_49;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Tirtha;Khan;STAFF;random46@random;;True;en;;;staff;staff
54;staff_id_50;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Sonal;Singh;STAFF;random47@random;;True;en;;;staff;staff
55;staff_id_51;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Nishant;Jain;STAFF;random48@random;;True;en;;;staff;staff
56;staff_id_52;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Shekhar;Verma;STAFF;random49@random;;True;en;;;staff;staff
57;staff_id_53;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Aishwarya;Singh;STAFF;random50@random;;True;en;;;staff;staff
58;staff_id_54;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Harshwardhan;Aggarwal;STAFF;random51@random;;True;en;;;staff;staff
59;staff_id_55;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Arnov;Sengupta;STAFF;random52@random;;True;en;;;staff;staff
60;staff_id_56;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Mohit;Singh;STAFF;random53@random;;True;en;;;staff;staff
61;staff_id_57;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Shaurya;Varma;STAFF;random54@random;;True;en;;;staff;staff
62;staff_id_58;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Chandan;Kumar;STAFF;random55@random;;True;en;;;staff;staff
63;staff_id_59;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Ankit;Goenka;STAFF;random56@random;;True;en;;;staff;staff
64;staff_id_60;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Manisha;Jhunjhunwala;STAFF;random57@random;;True;en;;;staff;staff
65;staff_id_61;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Hemanth;Choudhary;STAFF;random58@random;;True;en;;;staff;staff
66;staff_id_62;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Niketan;Parija;STAFF;random59@random;;True;en;;;staff;staff
67;dhi_student_id_01;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Dhiraj;Student;PARENT;dhiraj@witcurve;com;True;en;;;;
68;tej_student_id_02;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Satya ;Student;PARENT;teja@witcurve.com;;True;en;;;staff;staff
69;kish_student_id_03;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Kishore;Student;PARENT;kishore@witcurve.com;;True;en;;;staff;staff
70;student_id_04;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud11A4;Klass;PARENT;random60@random;;True;en;;;staff;staff
71;student_id_05;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud11B1;Klass;PARENT;random61@random;;True;en;;;staff;staff
72;student_id_06;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud11B2;Klass;PARENT;random62@random;;True;en;;;staff;staff
73;student_id_07;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud11B3;Klass;PARENT;random63@random;;True;en;;;staff;staff
74;student_id_08;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud11B4;Klass;PARENT;random64@random;;True;en;;;staff;staff
75;student_id_09;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud12A4;Klass;PARENT;random65@random;;True;en;;;staff;staff
76;student_id_10;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud12A3;Klass;PARENT;random66@random;;True;en;;;staff;staff
77;student_id_11;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud12A1;Klass;PARENT;random67@random;;True;en;;;staff;staff
78;student_id_12;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud12A2;Klass;PARENT;random68@random;;True;en;;;staff;staff
79;student_id_13;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud12B2;Klass;PARENT;random69@random;;True;en;;;staff;staff
80;student_id_14;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud12B3;Klass;PARENT;random70@random;;True;en;;;staff;staff
81;student_id_15;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud12B4;Klass;PARENT;random71@random;;True;en;;;staff;staff
82;student_id_16;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud12B1;Klass;PARENT;random72@random;;True;en;;;staff;staff
83;student_id_17;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud15A1;Klass;PARENT;random73@random;;True;en;;;staff;staff
84;student_id_18;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud15A2;Klass;PARENT;random74@random;;True;en;;;staff;staff
85;student_id_19;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud15A3;Klass;PARENT;random75@random;;True;en;;;staff;staff
86;student_id_20;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud15A4;Klass;PARENT;random76@random;;True;en;;;staff;staff
87;student_id_21;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud15B4;Klass;PARENT;random77@random;;True;en;;;staff;staff
88;student_id_22;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud15B3;Klass;PARENT;random78@random;;True;en;;;staff;staff
89;student_id_23;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud15B2;Klass;PARENT;random79@random;;True;en;;;staff;staff
90;student_id_24;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud15B1;Klass;PARENT;random80@random;;True;en;;;staff;staff
91;student_id_25;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud19A1;Klass;PARENT;random81@random;;True;en;;;staff;staff
92;student_id_26;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud19A2;Klass;PARENT;random82@random;;True;en;;;staff;staff
93;student_id_27;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud19A3;Klass;PARENT;random83@random;;True;en;;;staff;staff
94;student_id_28;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud19A4;Klass;PARENT;random84@random;;True;en;;;staff;staff
95;student_id_29;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud19B4;Klass;PARENT;random85@random;;True;en;;;staff;staff
96;student_id_30;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud19B3;Klass;PARENT;random86@random;;True;en;;;staff;staff
97;student_id_31;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud19B2;Klass;PARENT;random87@random;;True;en;;;staff;staff
98;student_id_32;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud19B1;Klass;PARENT;random88@random;;True;en;;;staff;staff
99;student_id_33;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud110A1;Klass;PARENT;random89@random;;True;en;;;staff;staff
100;student_id_34;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud110A2;Klass;PARENT;random90@random;;True;en;;;staff;staff
101;student_id_35;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud110A3;Klass;PARENT;random91@random;;True;en;;;staff;staff
102;student_id_36;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud110A4;Klass;PARENT;random92@random;;True;en;;;staff;staff
103;student_id_37;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud110B4;Klass;PARENT;random93@random;;True;en;;;staff;staff
104;student_id_38;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud110B3;Klass;PARENT;random94@random;;True;en;;;staff;staff
105;student_id_39;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud110B2;Klass;PARENT;random95@random;;True;en;;;staff;staff
106;student_id_40;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud110B1;Klass;PARENT;random96@random;;True;en;;;staff;staff
107;student_id_41;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud111A1;Klass;PARENT;random97@random;;True;en;;;staff;staff
108;student_id_42;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud111A2;Klass;PARENT;random98@random;;True;en;;;staff;staff
109;student_id_43;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud111A3;Klass;PARENT;random99@random;;True;en;;;staff;staff
110;student_id_44;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud111A4;Klass;PARENT;random100@random;;True;en;;;staff;staff
111;student_id_45;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud111B4;Klass;PARENT;random101@random;;True;en;;;staff;staff
112;student_id_46;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud111B3;Klass;PARENT;random102@random;;True;en;;;staff;staff
113;student_id_47;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud111B2;Klass;PARENT;random103@random;;True;en;;;staff;staff
114;student_id_48;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud111B1;Klass;PARENT;random104@random;;True;en;;;staff;staff
115;student_id_49;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud112A1;Klass;PARENT;random105@random;;True;en;;;staff;staff
116;student_id_50;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud112A2;Klass;PARENT;random106@random;;True;en;;;staff;staff
117;student_id_51;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud112A3;Klass;PARENT;random107@random;;True;en;;;staff;staff
118;student_id_52;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud112A4;Klass;PARENT;random108@random;;True;en;;;staff;staff
119;student_id_53;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud112B4;Klass;PARENT;random109@random;;True;en;;;staff;staff
120;student_id_54;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud112B3;Klass;PARENT;random110@random;;True;en;;;staff;staff
121;student_id_55;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud112B2;Klass;PARENT;random111@random;;True;en;;;staff;staff
122;student_id_56;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud112B1;Klass;PARENT;random112@random;;True;en;;;staff;staff
123;student_id_57;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud212B1;Klass;PARENT;random113@random;;True;en;;;staff;staff
124;student_id_58;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud212B2;Klass;PARENT;random114@random;;True;en;;;staff;staff
125;student_id_59;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud212B3;Klass;PARENT;random115@random;;True;en;;;staff;staff
126;student_id_60;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud212B4;Klass;PARENT;random116@random;;True;en;;;staff;staff
127;student_id_61;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud212A4;Klass;PARENT;random117@random;;True;en;;;staff;staff
128;student_id_62;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud212A3;Klass;PARENT;random118@random;;True;en;;;staff;staff
129;student_id_63;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud212A2;Klass;PARENT;random119@random;;True;en;;;staff;staff
130;student_id_64;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud212A1;Klass;PARENT;random120@random;;True;en;;;staff;staff
131;student_id_65;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud211A1;Klass;PARENT;random121@random;;True;en;;;staff;staff
132;student_id_66;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud211A2;Klass;PARENT;random122@random;;True;en;;;staff;staff
133;student_id_67;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud211A3;Klass;PARENT;random123@random;;True;en;;;staff;staff
134;student_id_68;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud211A4;Klass;PARENT;random124@random;;True;en;;;staff;staff
135;student_id_69;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud211B4;Klass;PARENT;random125@random;;True;en;;;staff;staff
136;student_id_70;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud211B3;Klass;PARENT;random126@random;;True;en;;;staff;staff
137;student_id_71;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud211B2;Klass;PARENT;random127@random;;True;en;;;staff;staff
138;student_id_72;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud211B1;Klass;PARENT;random128@random;;True;en;;;staff;staff
139;student_id_73;$2a$10$5waEW48.24YExA5hZ06PqeAjg6giei/mJ5tkSb6v4CZ.vgj1oZ9zG;Stud210B1;Klass;PARENT;random129@random;;True;en;;;staff;staff
