id,created_by,last_modified_by,address1,address2,adhaar_no,birth_place,blood_group,category,city,country,date_of_birth,district,first_name,gender,identification_mark1,identification_mark2,last_name,middle_name,mother_tongue,nationality,pincode,previous_school_address,previous_school_standard,previous_school_name,registered_mobile_number,religion,state,sub_caste,school_id,user_id,admission_id
11,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud12A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,77,STUDENT_ID_11
12,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud12A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,78,STUDENT_ID_12
13,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud12B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,79,STUDENT_ID_13
14,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud12B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,80,STUDENT_ID_14
15,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud12B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,81,STUDENT_ID_15
16,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud12B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,82,STUDENT_ID_16
17,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud15A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,83,STUDENT_ID_17
18,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud15A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,84,STUDENT_ID_18
19,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud15A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,85,STUDENT_ID_19
20,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud15A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,86,STUDENT_ID_20
21,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud15B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,87,STUDENT_ID_21
22,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud15B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,88,STUDENT_ID_22
23,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud15B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,89,STUDENT_ID_23
24,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud15B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,90,STUDENT_ID_24
25,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud19A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,91,STUDENT_ID_25
26,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud19A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,92,STUDENT_ID_26
27,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud19A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,93,STUDENT_ID_27
28,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud19A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,94,STUDENT_ID_28
29,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud19B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,95,STUDENT_ID_29
30,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud19B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,96,STUDENT_ID_30
31,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud19B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,97,STUDENT_ID_31
32,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud19B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,98,STUDENT_ID_32
33,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud110A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,99,STUDENT_ID_33
34,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud110A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,100,STUDENT_ID_34
35,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud110A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,101,STUDENT_ID_35
36,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud110A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,102,STUDENT_ID_36
37,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud110B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,103,STUDENT_ID_37
38,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud110B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,104,STUDENT_ID_38
39,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud110B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,105,STUDENT_ID_39
40,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud110B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,106,STUDENT_ID_40
41,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud111A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,107,STUDENT_ID_41
42,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud111A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,108,STUDENT_ID_42
43,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud111A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,109,STUDENT_ID_43
44,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud111A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,110,STUDENT_ID_44
45,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud111B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,111,STUDENT_ID_45
46,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud111B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,112,STUDENT_ID_46
47,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud111B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,113,STUDENT_ID_47
48,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud111B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,114,STUDENT_ID_48
49,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud112A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,115,STUDENT_ID_49
50,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud112A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,116,STUDENT_ID_50
51,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud112A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,117,STUDENT_ID_51
52,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud112A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,118,STUDENT_ID_52
53,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud112B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,119,STUDENT_ID_53
54,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud112B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,120,STUDENT_ID_54
55,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud112B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,121,STUDENT_ID_55
56,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud112B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,1,122,STUDENT_ID_56
57,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud212B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,123,STUDENT_ID_57
58,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud212B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,124,STUDENT_ID_58
59,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud212B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,125,STUDENT_ID_59
60,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud212B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,126,STUDENT_ID_60
61,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud212A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,127,STUDENT_ID_61
62,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud212A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,128,STUDENT_ID_62
63,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud212A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,129,STUDENT_ID_63
64,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud212A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,130,STUDENT_ID_64
65,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud211A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,131,STUDENT_ID_65
66,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud211A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,132,STUDENT_ID_66
67,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud211A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,133,STUDENT_ID_67
68,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud211A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,134,STUDENT_ID_68
69,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud211B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,135,STUDENT_ID_69
70,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud211B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,136,STUDENT_ID_70
71,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud211B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,137,STUDENT_ID_71
72,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud211B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,138,STUDENT_ID_72
73,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud210B1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,139,STUDENT_ID_73
74,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud210B2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,140,STUDENT_ID_74
75,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud210B3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,141,STUDENT_ID_75
76,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud210B4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,142,STUDENT_ID_76
77,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud210A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,143,STUDENT_ID_77
78,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud210A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,144,STUDENT_ID_78
79,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud210A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,145,STUDENT_ID_79
80,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud210A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,146,STUDENT_ID_80
81,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud29A1,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,147,STUDENT_ID_81
82,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud29A2,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,148,STUDENT_ID_82
83,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud29A3,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,149,STUDENT_ID_83
84,staff,staff,Tadepalligudem,Tadepalligudem,Adhaar-220302,Tadepalligudem,o+,cat,Tadepalligudem,India,7/9/1995,West Godavari,Stud29A4,MALE,mole on right hand,mole on left hand,Klass,Sec,Telugu,Indian,534101,abcd address,Nursery,abc school,9876543210,Hindu,AP,A,2,150,STUDENT_ID_84
